project_id,esco_id,esco_label,esco_description,pad_occupations,pad_activities,pad_skills,pad_quotes,esco_uri
P075941,7cdeb653-8f3d-4921-832b-b95f9d700a86,electrical transmission system operator,"Electrical transmission system operators transport energy in the form of electrical power. They transmit electrical power from generation plants over an interconnected network, an electrical grid, to electricity distribution stations.","""Transmission Line Engineer"", ""Transmission System Planner"", ""Transmission Planning Analyst"", ""Transmission Line Upgrade Engineer""","""Build power system interconnections and the transmission backbone linking Burundi, Rwanda, and Tanzania."", ""Develop interconnections with support from Africa Development Bank (AfDB) in the Nile Equatorial Lakes sub-region"", ""Jointly develop regional system interconnections"", ""Conduct analytical work for a transmission interconnection between Tanzania and Zambia to connect the Eastern Africa Power Pool to the Southern Africa Power Pool"", ""Tanzania Electric Supply Company Limited's enhancement of transmission capacity of the existing north-south Backbone transmission line between Iringa and Shinyanga under the ongoing Backbone Transmission Interconnection Project.""","""build power system interconnections"", ""link transmission backbone"", ""develop interconnections with support from Africa Development Bank (AfDB)"", ""develop regional system interconnections"", ""conduct analytical work for a transmission interconnection between Tanzania and Zambia"", ""enhancing transmission capacity of existing backbone transmission line"", ""upgrading backbone transmission line between Iringa and Shinyanga""",": ""The Project will also build important power system interconnections, which will help form the transmission backbone linking Burundi, Rwanda, and Tanzania."", : ""Through the multiple interconnections being developed with support from the Africa Development Bank (AfDB) in the Nile Equatorial Lakes sub-region, Burundi, Uganda, Rwanda, the Democratic Republic of Congo and Kenya will soon be able to regularly exchange power in response to changing conditions."", : ""In the context of the NBI and the Nile Equatorial Lakes Subsidiary Action Program (NELSAP), the riparian countries have agreed to jointly develop low-cost power generation and regional system interconnections in order to improve productivity and promote economic growth."", : ""In addition, NELSAP is conducting the necessary analytical work for a transmission interconnection between Tanzania and Zambia, to connect the Eastern Africa Power Pool to the Southern Africa Power Pool."", : ""Under the ongoing ""Backbone Transmission Interconnection Project"" (funded by IDA, AfDB, JICA, EIB & EDCF Korea), TANESCO's transmission capacity of the existing north-south Backbone transmission line between Iringa and Shinyanga will be significantly enhanced.""",http://data.europa.eu/esco/occupation/7cdeb653-8f3d-4921-832b-b95f9d700a86
P075941,7ef064b1-aab8-4818-a468-8f17acbfd995,hydropower technician,"Hydropower technicians install and maintain systems in hydropower plants. They perform inspections, analyse problems and carry out repairs. They ensure the turbines operate in compliance with regulations, and assist the hydropower engineers in the construction of turbines.","""Operations and Maintenance technician (hydroelectric plant)"", ""Hydro-mechanical Installation Technician"", ""Turbine Installation Technician"", ""Hydropower Mechanical Installation Technician""","""Provide ongoing operations and maintenance services and staffing for the Rusumo Power Company Limited to meet operational costs, including staff salaries."", ""Supply, install, test and commission hydro-mechanical equipment."", ""Supply, install, test and commission turbine-generator sets and auxiliaries."", ""install turbines, generators and fit butterfly valves ahead of the spiral cases in each turbine unit""","""perform operations and maintenance activities"", ""support ongoing staffing and operational cost requirements"", ""supply hydro-mechanical equipment"", ""install hydro-mechanical equipment"", ""test and commission hydro-mechanical equipment"", ""supply turbine-generator sets and auxiliaries"", ""install turbine-generator sets and auxiliaries"", ""test and commission turbine-generator sets and auxiliaries"", ""install turbines and generators"", ""fit butterfly valves ahead of spiral cases""",": ""If they do not, RPCL still will have to meet its operations and maintenance costs (including staff salaries), debt service, returns or dividends to shareholders, and all other cash flow requirements."", : ""This component will include supply, installation, testing and commissioning of: (i) hydro-mechanical equipment; (ii) turbine-generator sets and auxiliaries; (iii) generation substation; and (iv) power complex control and communications equipment."", : ""The powerhouse will  contain three  turbines (Kaplan  units) and three generators with  a  total maximum  capacity of  80MW. The rated flow  of each  turbine will be 119m 3 s-' for  a  total of 357m 3 S-. Ahead of  the  spiral cases, each  unit will be  fitted with  a  butterfly valve.""",http://data.europa.eu/esco/occupation/7ef064b1-aab8-4818-a468-8f17acbfd995
P075941,8213b4bc-60ce-4ffc-9e00-9758fb2003c6,monitoring and evaluation officer,"Monitoring and evaluation officers are responsible for the conceptualisation, design, implementation and follow-up of the monitoring and evaluation activities of projects, programmes, policies, strategies, institutions or processes, along the relevant programming cycle. They develop monitoring, inspection and evaluation methods and instruments needed to collect and analyse data, and report on results by applying structured M&E frameworks, theories, approaches and methodologies. M&E officers inform decision-making through reporting, learning products or activities and knowledge management. They can also engage in capacity development activities by providing training and capacity building support within their organizations or for clients and partners.","""Monitoring and Evaluation Specialist"", ""Communications Monitoring and Evaluation Specialist"", ""Monitoring and Evaluation Specialist (Rusumo Project Implementation Unit)"", ""Communications Specialist""","""Provide support to the implementation-support team as a monitoring and evaluation specialist."", ""Conduct an annual candid assessment of communications strategy implementation and use the results to inform remedial actions as appropriate."", ""Carry out results monitoring and evaluation, including monitoring construction and commissioning progress, transmission line works, implementation of the Environment and Social Management Plan and Resettlement Action Plan, and data collection."", ""The Rusumo Project Implementation Unit's oversight capability will be reinforced with a communications specialist."", ""The Rusumo Project Implementation Unit will be responsible for overall management and implementation of the project's monitoring and evaluation framework and additional support will be hired to strengthen the Unit's monitoring and evaluation capacity.""","""provide support to the implementation-support team"", ""conduct annual assessment of strategy implementation"", ""inform remedial actions based on assessment results"", ""results monitoring and evaluation"", ""monitor timely and efficient construction and commissioning of the power plant complex and transmission lines"", ""monitor effective implementation of the Environment and Social Management Plan"", ""monitor implementation of the Resettlement Action Plan"", ""data collection"", ""provide communications specialist services"", ""support Unit oversight"", ""manage and implement M&E framework"", ""strengthen Unit's M&E capacity""",": ""This team will receive support from an institutional specialist in the electricity sector, an electromechanical engineer, a civil engineer, a resettlement specialist, a hydropower specialist, a legal advisor, a water resources specialist, a communications specialist, and a monitoring and evaluation (M&E) specialist."", : ""Given the high-profile, high-risk nature of RRFHP, a candid assessment of strategy implementation will be conducted annually, and the results will help to inform remedial actions as appropriate."", : ""The RPIU will be responsible for results monitoring and evaluation. Activities to be monitored include the timely and efficient construction and commissioning of the power plant complex, the transmission lines, and effective implementation of the ESMP and RAP. Data collection will also be the responsibility of the RPIU."", : ""The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff."", : ""The RPIU will be responsible for the overall management and implementation of the project's M&E framework and additional support will be hired to strengthen the Unit's M&E capacity.""",http://data.europa.eu/esco/occupation/8213b4bc-60ce-4ffc-9e00-9758fb2003c6
P075941,836f0a96-7546-4003-9fc8-714fc79199d4,contract engineer,Contract engineers combine technical knowledge of contracts and legal matters with understanding of engineering specifications and principles. They ensure that both parts are aligned in the development of a project and foresee the compliance of all the engineering specifications and matters as defined in contracts.,"""Independent Resettlement Expert""","""One year after commissioning, the Rusumo Power Company Limited shall cause an audit to be conducted by an independent qualified resettlement expert to monitor the outcomes of the Resettlement Action Plan, including a survey and consultation with Displaced Persons.""","""conduct resettlement audit"", ""carry out survey and consultation with Displaced Persons"", ""define necessary remedial actions""",": ""One year after the commissioning of the power plant, the RPCL shall cause an audit to be conducted by an independent qualified resettlement expert to monitor the outcomes of the RAP, including a survey and consultation with Displaced Persons, and which audit shall also define any necessary action to address any shortcomings in the implementation of said RAP.""",http://data.europa.eu/esco/occupation/836f0a96-7546-4003-9fc8-714fc79199d4
P075941,86ca306c-ab99-420a-9e2a-aa73c5c4de22,electrical engineer,"Electrical engineers design and develop electrical systems, electrical equipment, components, motors, and equipment with the feature of energy transmission. They engage in large scale projects such as the design and maintenance of power stations, and the distribution of power to smaller applications such as household appliances.","""Mechanical and Electrical engineer"", ""Senior Project Electrical Engineer"", ""Electrical Engineer (consultant)""","""Plan and carry out the major rehabilitation of the mechanical and electrical works over an 18-month period starting in Year 26 after Commercial Operation Date to ensure a useful technical life of 50 years."", ""The Rusumo Project Implementation Unit's oversight capability will be reinforced with senior project engineers (electrical)."", ""Consulting services to be procured will include an Electrical Engineer to support electro-mechanical and substation works.""","""plan major rehabilitation of mechanical and electrical works"", ""execute 18-month mechanical and electrical rehabilitation"", ""provide senior project engineering (electrical) expertise"", ""support Unit oversight"", ""provide electrical engineering design and oversight""",": ""The financial and economic analyses presented in this report also consider the need for a major rehabilitation of the mechanical and electrical works over 18 months, starting in Year 26 after the commercial operation date (COD) of the power plant."", : ""The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff."", : ""These services will include: the Owner's Engineer, a consultant to conduct an exit survey of Project Affected Persons (PAPs), an nongovernmental organization (NGO) to the compensation process for the PAPs, the Project Manager, the Lead Environmental and Social Specialist, two social development and resettlement officer, the Environmental Management Officer, the Communication Officer, the Finance Officer, the Procurement Specialist, the Procurement Officer, the Civil Engineer, the Electrical Engineer, the Mechanical Engineer and the Accountant.""",http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22
P075941,8801ef16-92a4-4889-8f80-9b78206c7ec0,human rights officer,"Human rights officers investigate and handle human rights violations, as well as develop plans to reduce violations and to ensure compliance to human rights legislation. They investigate complaints by examining information and interviewing victims and perpetrators, and communicate with organisations involved with human rights activities.","""Compensation Monitoring Non-Governmental Organization""","""An Non-Governmental Organization will be contracted to witness the compensation process for Project Affected Persons.""","""witness compensation process"", ""participate in resettlement compensation activities""",": ""These services will include: the Owner's Engineer, a consultant to conduct an exit survey of Project Affected Persons (PAPs), an nongovernmental organization (NGO) to the compensation process for the PAPs, the Project Manager, the Lead Environmental and Social Specialist, two social development and resettlement officer, the Environmental Management Officer, the Communication Officer, the Finance Officer, the Procurement Specialist, the Procurement Officer, the Civil Engineer, the Electrical Engineer, the Mechanical Engineer and the Accountant.""",http://data.europa.eu/esco/occupation/8801ef16-92a4-4889-8f80-9b78206c7ec0
P075941,8c57af09-719c-42b3-be40-6ed4946236cc,database administrator,"Database administrators test, implement and administer computer databases. They use their expertise in database management systems to plan, coordinate and implement security measures to safeguard computer databases. They also use scripts and configuration files to tailor a database to users' needs.","""Project Database Manager""","""The Rusumo Project Implementation Unit will be responsible for maintaining a project database, managing the flow of information, and producing periodic monitoring reports.""","""maintain project database"", ""manage flow of project information"", ""produce periodic monitoring reports""",": ""The RPIU will be responsible for maintaining a project database, managing the flow of information, and producing periodic monitoring reports.""",http://data.europa.eu/esco/occupation/8c57af09-719c-42b3-be40-6ed4946236cc
P075941,8cb59bc4-1f39-477e-beea-effed12d186c,technical communicator,"Technical communicators prepare clear, concise and professional communication from product developers to users of the products such as online help, user manuals, white papers, specifications and industrial videos. For this, they analyse products, legal requirements, markets, customers and users. They develop information and media concepts, standards, structures and software tool support. They plan the content creation and media production processes, develop written, graphical, video or other contents, generate media output, release their information products and receive feedback from the users.","""Communications Specialist""","""The Rusumo Project Implementation Unit's oversight capability will be reinforced with a communications specialist.""","""provide communications specialist services"", ""support Unit oversight""",": ""The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff.""",http://data.europa.eu/esco/occupation/8cb59bc4-1f39-477e-beea-effed12d186c
P075941,91ba2935-f5c9-426d-8573-997b8b91e5ed,"agriculture, forestry and fishery vocational teacher","Agriculture, forestry and fishery vocational teachers instruct students in their specialised field of study, agriculture, forestry and fishery, which is predominantly practical in nature. They provide theoretical instruction in service of the practical skills and techniques the students must subsequently master for an agriculture, forestry or fishery profession. Agriculture, forestry and fishery vocational teachers monitor the students' progress, assist individually when necessary, and evaluate their knowledge and performance on the subject of agriculture, forestry and fishery through assignments, tests and examinations.","""Agricultural Extension Trainer""","""Provide agricultural training aimed at intensification of production as part of the livelihood restoration program.""","""provide agricultural training for intensification of production""",": ""In addition all affected households will be entitled to participate in a livelihood restoration program which will include financial training for the sustainable utilization of cash compensation, agricultural training for intensification of production and business skill training.""",http://data.europa.eu/esco/occupation/91ba2935-f5c9-426d-8573-997b8b91e5ed
P075941,91f93dc4-1b71-4053-b6fb-c579ec19303a,procurement department manager,Procurement department managers ensure that the organisation's policy goals are transformed into concrete actions and support their teams to achieve the best results for their clients and the public. They oversee the public procurement professionals in the organisation to deliver on their objectives.,"""Procurement Specialist at the Nile Equatorial Lakes Subsidiary Action Program Coordination Unit""","""Prepare the Procurement Manual defining procurement processing and oversight structures for the project.""","""prepare Procurement Manual"", ""define procurement processing and oversight structures""",": ""The Procurement processing and structures to provide oversight for the procurement function will be defined in the Procurement Manual, to be prepared by NELSAP CU.""",http://data.europa.eu/esco/occupation/91f93dc4-1b71-4053-b6fb-c579ec19303a
P075941,9581c837-fee7-4068-9618-1116fd93d723,engineering assistant,"Engineering assistants ensure the administration and monitoring of technical and engineering files for projects, assignments, and quality matters. They assist engineers with their experiments, participate in site visits, and administer the collection of information.","""Technical Staff (Rusumo Project Implementation Unit)"", ""Technical Specialist""","""Provide technical support within the Rusumo Project Implementation Unit drawing on experience in the implementation of similar projects."", ""Provide technical capacity support to the Rusumo Project Implementation Unit to increase capacity to implement the project and improve coordination.""","""experience in the implementation of similar projects"", ""provide technical support for project implementation arrangements"", ""provide technical capacity support"", ""improve coordination""",": ""The implementation arrangements will utilize NELSAP's well-established fiduciary capacity and the RPIU will be staffed with adequate technical staff with experience in the implementation of similar projects."", : ""Planned additional capacity support to the RPIU on technical, environmental, social and communication aspects will also help to increase capacity to implement the project and improve coordination.""",http://data.europa.eu/esco/occupation/9581c837-fee7-4068-9618-1116fd93d723
P075941,9e285322-2cfa-430f-9b66-41be57d698e2,public affairs consultant,"Public affairs consultants function as representatives for a client's goal. They attempt to persuade legislative bodies and policy makers to implement laws or regulation in accordance with the client's wishes, and negotiate with parties with potentially conflicting interests. They perform analytical and research duties in order to ensure that the client's cause is being addressed in an appropriate way to the appropriate parties. They also consult their clients on their causes and policies.","""Communications Consultant"", ""Public Consultation Specialist"", ""Public Consultation and Disclosure Specialist""","""Develop a strategic communications component that is adequately funded to support project implementation."", ""Conduct extensive public consultations as an integral part of the project's assessment."", ""Prepare a Public Consultation and Disclosure Plan (PCDP) to guide consultations during implementation.""","""develop strategic communications component"", ""develop strategic communications component that is adequately funded to support project implementation"", ""conduct public consultations"", ""support project assessment"", ""prepare Public Consultation and Disclosure Plan (PCDP)""",": ""A strategic communications component, adequately funded will be developed to support project implementation."", : ""The project includes extensive public consultations as an integral part of the assessment."", : ""For consultations during implementation, a Public  Consultation Disclosure Plan  (PCDP)  will be  prepared.""",http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2
P075941,a005f8a2-2d8a-433e-8d89-13575f822fd4,energy manager,"Energy managers coordinate the energy use in an organisation, and aim to implement policies for increased sustainability, and minimisation of cost and environmental impact. They monitor the energy demands and use, and develop improvement strategies, as well as researching the most beneficial source of energy for the organisation's needs.","""Commissioner for Energy (Ministry of Energy) [Project Steering Committee member]""","""Serve on the Project Steering Committee to provide oversight of the Rusumo Project Implementation Unit and ensure timely and quality project implementation.""","""provide an oversight function over the Rusumo Project Implementation Unit"", ""ensure timely and quality project implementation""",": ""To continue with this oversight role, there will be a Project Steering Committee (PSC) to oversee the functions of the RPIU, charged with the responsibility of ensuring timely and quality project implementation. The PSC will report to the owners of the power plant complex. The PSC will provide an oversight function and shall be comprised of an official from the Ministry of Energy (at the level of Commissioner for energy) and the utility (at least at the level of head of the generation department) from each of the respective beneficiary countries.""",http://data.europa.eu/esco/occupation/a005f8a2-2d8a-433e-8d89-13575f822fd4
P075941,a1273779-d2d4-4708-a406-62f7cdd26aab,health and safety engineer,"Health and safety engineers design objects and programs by combining engineering principles and health and safety requirements. They envision the protection and well-being of the people using designed objects or performing work under designed health and safety programs. They assess facilities and the risks that they might pose (e.g. contaminant materials, ergonomics, handling of dangerous substances, etc.) in order to design and improve health and safety measures.","""Dam Safety Specialist (Panel member)"", ""Dam Safety Consultant""","""Provide technical guidance on dam safety to the Nile Equatorial Lakes Subsidiary Action Program Coordination Unit during project implementation."", ""Three months prior to plant commissioning, the Rusumo Power Company Limited shall prepare and adopt Dam Safety Plans covering organizational, structural, staffing, technical expertise, training, equipment, and operation and maintenance procedures.""","""provide technical guidance on dam safety"", ""support the NELSAP Coordination Unit during project implementation"", ""prepare and adopt Dam Safety Plans"", ""define staffing, technical expertise and O&M procedures""",": ""Two independent panels -one for environmental and social safeguards and another for dam safety -are in place and have provided technical guidance to the NELSAP Coordination Unit during project preparation. This guidance will continue during project implementation."", : ""Three months prior plant commissioning, the RPCL shall prepare and adopt Dam Safety Plans. The detail plans shall cover organizational, structural, staffing, technical expertise, and training required; equipment facilities needed to operate and maintain the dam; O&M procedures; and arrangements for funding O&M, including long-term maintenance & safety inspections.""",http://data.europa.eu/esco/occupation/a1273779-d2d4-4708-a406-62f7cdd26aab
P075941,a1cf1406-3632-494c-bff3-0bd5d5327d8f,survey enumerator,"Survey enumerators perform interviews and fill in forms in order to collect the data provided by interviewees. They can collect information by phone, mail, personal visits or on the street. They conduct and help the interviewees administer the information that the interviewer is interested in having, usually related to demographic information for governmental statistical purposes.","""Exit Survey Consultant""","""A consultant will be engaged to conduct an exit survey of Project Affected Persons (PAPs).""","""conduct exit survey of Project Affected Persons"", ""perform survey and consultation""",": ""These services will include: the Owner's Engineer, a consultant to conduct an exit survey of Project Affected Persons (PAPs), an nongovernmental organization (NGO) to the compensation process for the PAPs, the Project Manager, the Lead Environmental and Social Specialist, two social development and resettlement officer, the Environmental Management Officer, the Communication Officer, the Finance Officer, the Procurement Specialist, the Procurement Officer, the Civil Engineer, the Electrical Engineer, the Mechanical Engineer and the Accountant.""",http://data.europa.eu/esco/occupation/a1cf1406-3632-494c-bff3-0bd5d5327d8f
P075941,a74f6c51-37e5-423e-aa5b-044e98663027,web content manager,"Web content managers curate or create content for a web platform according to the long-term strategic goals, policies and procedures for an organisation's online content or their customers. They control and monitor compliance with standards, legal and privacy regulations and ensure web optimisation. They are also responsible for integrating the work of writers and designers to produce a final layout which is compatible with corporate standards.","""Web Content Manager""","""Post all public documents involving the project, including environmental and social impact reports, on a dedicated website in adherence to the Bank's Access to Information Policy.""","""post public documents online on a dedicated website"", ""adhere to the Bank's Access to Information Policy when disclosing documents""",": ""The RRFHP will adhere to the Bank's Access to Information Policy, and all public documents involving the project, including environmental and social impact reports, will be posted online on a dedicated website -www.worldbank.org/Rusomo.""",http://data.europa.eu/esco/occupation/a74f6c51-37e5-423e-aa5b-044e98663027
P075941,a9068f84-cecd-4cbb-9acb-e20c714435ec,concrete finisher,"Concrete finishers work with binding agents like cement and concrete. They put up any removable forms and pour concrete into the forms. They then execute one or several actions to finish the concrete: cutting, screeding or levelling, compacting, smoothing, and chamfering to prevent chipping.","""Concrete Finisher (Tunnel Works)""","""perform concreting of the tunnel invert in areas where larger faults are encountered""","""concreting of the invert in areas of larger faults""",": ""It  is  anticipated that concreting of  the  invert will also be  required in  areas of  larger faults.""",http://data.europa.eu/esco/occupation/a9068f84-cecd-4cbb-9acb-e20c714435ec
P075941,aad7819e-d62e-41de-a594-9f2be186a6c2,transport engineer,"Transport engineers design and set the engineering specifications for the construction and development of roadways and transport infrastructure. They apply engineering concepts and knowledge for developing sustainable and efficient modes of transportation ranging from roads to canals, railways, and airports.","""Access Roads Construction Engineer"", ""Road Construction Engineer""","""Build access roads and tracks for construction and maintenance of the transmission lines."", ""implement major changes to road configuration on both sides of the river associated with the project""","""build access roads and tracks for construction and maintenance of the transmission lines"", ""reconfigure road alignment and construct new roadway segments""",": ""In addition, access  roads  and tracks of  yet  to be determined  length will  be built for construction and  maintenance  of the  T-lines."", : ""The project will involve major  changes  to the  road  configuration on  both  sides of the  river and  construction of  new customs  and immigration facilities.""",http://data.europa.eu/esco/occupation/aad7819e-d62e-41de-a594-9f2be186a6c2
P075941,ac37627c-a999-4779-997e-9795cc4f9a3d,power distribution engineer,"Power distribution engineers design and operate facilities which distribute power from the distribution facility to the consumers. They research methods for the optimisation of power distribution, and ensure the consumers' needs are met. They also ensure compliance to safety regulations by monitoring the automated processes in plants and directing workflow.","""Transmission and Distribution Network Engineer"", ""Institutional Specialist in the Electricity Sector""","""Regie de Production et de Distribution d'eau et d'elelectricite's investment requirements for extending, reinforcing and rehabilitating the transmission and distribution networks over the medium term."", ""Provide support to the implementation-support team as an institutional specialist in the electricity sector.""","""extending transmission and distribution networks"", ""reinforcing transmission and distribution networks"", ""rehabilitating transmission and distribution networks"", ""provide support to the implementation-support team""",": ""REGIDESO's investment requirements for extending, reinforcing and rehabilitating the transmission and distribution networks over the medium term are considerable."", : ""This team will receive support from an institutional specialist in the electricity sector, an electromechanical engineer, a civil engineer, a resettlement specialist, a hydropower specialist, a legal advisor, a water resources specialist, a communications specialist, and a monitoring and evaluation (M&E) specialist.""",http://data.europa.eu/esco/occupation/ac37627c-a999-4779-997e-9795cc4f9a3d
P075941,b05f53db-b6b0-49bc-aa0c-1790c8c7012b,rigger,"Riggers specialise in the lifting of heavy objects, often helped by a crane or derrick. They work with crane operators to attach and detach crane loads. They may also install the heavy object in place.","""Rigger""","""rig and handle stoplogs and other heavy components for installation/removal by mobile crane to service intake gates""","""install and remove stop logs using a mobile crane"", ""rig stop logs to service intake gates""",": ""The stop logs, of the downstream-seal type, will  be used  to service the  intake gates. The stop logs  will  be  installed and removed by a mobile  crane and  will be stored nearby  for  easy  access.""",http://data.europa.eu/esco/occupation/b05f53db-b6b0-49bc-aa0c-1790c8c7012b
P075941,b2cede50-82bb-4684-9f11-1930e12ad672,energy engineer,"Energy engineers design new, efficient and clean ways to produce, transform, and distribute energy to improve environmental sustainability and energy efficiency. They deal with the extraction of energy through natural resources, such as oil or gas, or renewable and sustainable sources, such as wind or solar power.","""Power Sector Planner""","""Expand energy resources for power generation and increase regional interconnectivity""","""expand energy resources for power generation"", ""increase regional interconnectivity""",": ""The challenge that remains is for the NEL countries realize the potential identified in the various studies, expanding energy resources for power generation and increasing regional interconnectivity.""",http://data.europa.eu/esco/occupation/b2cede50-82bb-4684-9f11-1930e12ad672
P075941,ba3bacd4-73e9-4861-a9c0-f89f1f28055a,construction general contractor,Construction general contractors take on the responsibility to deliver a construction project. They participate on bid processes for construction projects and hire subcontractors to deliver the different stages of the construction process from beginning to completion. They make sure subcontractors hold up their part of the agreement and work in the construction site to make sure the project is delivered in time and according to agreed standards.,"""Civil Works Contractor""","""Procurement of civil works on a re-measurable basis to cater for geological risk as part of a two-contract arrangement for project implementation.""","""implement civil works on a re-measurable basis to cater for geological risk"", ""perform works procured under the project's separate civil works contract""",": ""Risk  Management: has  been  thoroughly  studied  in  advance  of  the  start  of  the  works.  The project will  be implemented  under  a  two contract  arrangement  with  a separate  procurement  of civil  works on a re-measurable  basis  to  cater  for  the geological  risk  and E&M  plant including  hydro-mechanical  equipment on  an  EPC  basis;  in addition  to adequate Appropriate  contingency  funds  are  foreseen  for  cost  overruns.""",http://data.europa.eu/esco/occupation/ba3bacd4-73e9-4861-a9c0-f89f1f28055a
P075941,bea99fea-0383-4c63-b944-70d4799de2c5,project manager,"Project managers oversee the project on a daily basis and are responsible for delivering high-quality results within the identified objectives and constraints, ensuring the effective use of the allocated resources. They are responsible for risk and issue management, project communication and stakeholder management. Project managers perform the activities of planning, organising, securing, monitoring and managing the resources and work necessary to deliver specific project goals and objectives in an effective and efficient way.","""Project Manager"", ""Project Manager (Rusumo Project Implementation Unit)"", ""Capacity Development Specialist"", ""Project Implementation Specialist""","""Support the set-up operations of the Rusumo Power Company Limited and NELSAP Rusumo Project Implementation Unit."", ""Serve as head of the Rusumo Project Implementation Unit and manage the Unit's day-to-day implementation functions."", ""Manage and coordinate all project activities on behalf of the Rusumo Power Company Limited."", ""The Rusumo Project Implementation Unit's oversight capability will be reinforced with a Project Manager as head of the Unit."", ""The Project Implementation Manual will cover capacity-building activities for sustained achievement of the Project's objectives."", ""Prepare and closely monitor a master project implementation schedule covering the power plant and transmission lines during project implementation.""","""support the set-up operations of the Rusumo Power Company Limited"", ""support the set-up operations of the NELSAP Rusumo Project Implementation Unit"", ""serve as head of the Rusumo Project Implementation Unit"", ""manage day-to-day implementation of project activities"", ""manage all activities"", ""coordinate all activities"", ""reinforce oversight capability"", ""head the Unit"", ""implement capacity-building activities"", ""prepare a master project implementation schedule covering the power plant and transmission lines"", ""closely monitor project implementation""",": ""This component will also finance staff costs to support the set-up operations of the Rusumo Power Company Limited (RPCL) and NELSAP Rusumo Project Implementation Unit (RPIU) including a project manager, senior engineers (civil, electrical and mechanical), a quantity surveyor, a safeguards team, a procurement specialist, a financial management specialist, accounts and logistics assistant, a communications specialist and other technical staff."", : ""The RPIU will be staffed with a project manager as head of the Unit."", : ""To mitigate these risks, the Rusumo RPIU at NELSAP will manage and coordinate all the activities on behalf of the RPCL."", : ""The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff."", : ""The PIM will cover: (i) capacity-building activities for sustained achievement of the Project's objectives; (ii) disbursement, financial management and procurement procedures; (iii) institutional administration, coordination and day-to-day execution of activities of the Project; (iv) monitoring, evaluation, reporting, information, education and communication; (v) project impact and implementation indicators, including the procedures for monitoring and evaluation of the Project activities; (vi) the pertinent environmental and social safeguard documents; and (vii) the format the unaudited interim financial reports and the Financial Statements; and (viii) any such other administrative, financial, technical and organizational arrangements and procedures that the Project will require."", : ""A master project implementation schedule (covering the  power plant and  transmission lines) will be  prepared and  closely monitored during project implementation.""",http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5
P075941,c0489e22-6a1b-4e52-974a-eb71bbb42134,public relations officer,Public relations officers represent a company or organisation to stakeholders and the public. They use communications strategies to promote an understanding of the activities and image of their clients in a favourable way.,"""Public Information Officer"", ""Communications Officer""","""Provide information to the public in formats and languages that can easily be understood and maintain a dialogue with stakeholders."", ""Consulting services to be procured will include a Communication Officer to handle communications, information, education and disclosure tasks.""","""provide information in accessible format and language"", ""maintain a dialogue with stakeholders"", ""manage communications, information and disclosure""",": ""The strategy will provide information to the public in a format and language that can easily be understood and maintain a dialogue with stakeholders."", : ""These services will include: the Owner's Engineer, a consultant to conduct an exit survey of Project Affected Persons (PAPs), an nongovernmental organization (NGO) to the compensation process for the PAPs, the Project Manager, the Lead Environmental and Social Specialist, two social development and resettlement officer, the Environmental Management Officer, the Communication Officer, the Finance Officer, the Procurement Specialist, the Procurement Officer, the Civil Engineer, the Electrical Engineer, the Mechanical Engineer and the Accountant.""",http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134
P075941,c3aae59e-1441-4b3e-bdd1-6da50dc7cf42,bookkeeper,"Bookkeepers record and assemble the day-to-day financial transactions of an organisation or company, consisting usually of sales, purchases, payments and receipts. They ensure all financial transactions are documented in the appropriate (day) book and general ledger, and that they are balanced out. Bookkeepers prepare the recorded books and ledgers with financial transactions for an accountant to then analyse balance sheets and income statements.","""Finance Officer (Project Finance Officer)""","""Consulting services to be procured will include a Finance Officer responsible for the daily maintenance of project books of accounts and records.""","""maintain project books of accounts and records"", ""perform daily financial transactions""",": ""These services will include: the Owner's Engineer, a consultant to conduct an exit survey of Project Affected Persons (PAPs), an nongovernmental organization (NGO) to the compensation process for the PAPs, the Project Manager, the Lead Environmental and Social Specialist, two social development and resettlement officer, the Environmental Management Officer, the Communication Officer, the Finance Officer, the Procurement Specialist, the Procurement Officer, the Civil Engineer, the Electrical Engineer, the Mechanical Engineer and the Accountant.""",http://data.europa.eu/esco/occupation/c3aae59e-1441-4b3e-bdd1-6da50dc7cf42
